1001	alternative ADHD treatments
1002	cellphone for 12 years old kid
1005	discipline for 8 year old daughter
1007	getting rid of childhood phobia
1010	homeschooling legal issues
1012	homeschooling versus public school
1014	quit smoking teenagers
1016	sleep problems in preschool children
1029	parents of kids doing drugs
1034	parents of kids hooked on computer games
1036	parents of shy kids at school
1038	signs to know if child is ready to start school
1042	parents concerns about religious classes at school
1048	toddler and preschooler - Potty training at home
1049	family fit to Waldorf (anthroposophy) school
