meiosis	is divided into	cytokinesis I
meiosis	is specialized type of division of	cell
meiosis	is followed by	two rounds of cell division
meiosis	produces	gamete
meiosis	produces	sperm
meiosis	is related to	mitosis
meiosis	includes stages of	prophase II
meiosis	includes stages of	metaphase II
meiosis	includes stages of	anaphase II
meiosis	includes stages of	telophase II
meiosis	includes stages of	metaphase I
meiosis	includes stages of	anaphase I
meiosis	includes stages of	telophase I
meiosis	is referred to as	reduction division
meiosis	creating	four haploid daughter cells
